#es_name	display_name	path
Variant	Variant Name	None
Chr	Chromosome	None
Start	Start Position	None
Ref	Reference Allele	None
Alt	Alternate Allele	None
Type	Mutation Type	None
gatk_qs	GATK VQSR Score	None
AC	Allele Count	None
AN	Allele Number	None
AF	Allele Frequency 	None
avsnp142	dbSNP ID	None
Func_refGene	Consequence to RefSeq gene/transcript	None
Func_ensGene	Consequence to Ensembl gene/transcript	None
ExonicFunc_refGene	Consequence to Exonic RefSeq gene/transcript	None
ExonicFunc_ensGene	Consequence to Exonic Ensembl gene/transcript	None
refGene_symbol	Symbol	refGene
refGene_refgene_id	RefGene ID 	refGene
refGene_cDNA_change	cDNA change	refGene
refGene_aa_change	Amino acid change 	refGene
ensGene_gene_id	Gene ID	ensGene
ensGene_transcript_id	Transcript ID	ensGene
ensGene_cDNA_change	cDNA change 	ensGene
ensGene_aa_change	Amino acid change 	ensGene
#fathmm_MKL_coding_pred	Functional Analysis through Hidden Markov Models MKL Prediction	None
FATHMM_pred	Functional Analysis through Hidden Markov Models Prediction	None
LRT_pred	Likelihood Ratio Test (LRT) Prediction	None
LR_pred	LR Prediction	None
MetaLR_pred	Metal LR Prediction	None
MetaSVM_pred	MetaSVM Prediction	None
MutationAssessor_pred	Mutation Assessor Prediction	None
MutationTaster_pred	Mutation Taster Prediction	None
PROVEAN_pred	PROVEAN Prediction	None
Polyphen2_HDIV_pred	Polyphen2 HDIV Prediction	None
Polyphen2_HVAR_pred	Polyphen2 HVAR Prediction	None
RadialSVM_pred	Radial SVM Prediction	None
SIFT_pred	SIFT Prediction	None
dbscSNV_ADA_SCORE	DbscSNV ADA SCORE	None
dbscSNV_RF_SCORE	DbscSNV RF SCORE 	None
gerp_plus_gt2	GERP++ score 	None
1000g2015aug_all	1000 Genomes Project (Aug. 2015) ALL	None
1000g2015aug_afr	1000 Genomes Project (Aug. 2015) AFR	None
1000g2015aug_amr	1000 Genomes Project (Aug. 2015) AMR	None
1000g2015aug_eur	1000 Genomes Project (Aug. 2015) EUR	None
1000g2015aug_sas	1000 Genomes Project (Aug. 2015) SAS	None
ExAC_ALL	The Exome Aggregation Consortium (ExAC) ALL	None
ExAC_AFR	The Exome Aggregation Consortium (ExAC) AFR 	None
ExAC_AMR	The Exome Aggregation Consortium (ExAC) AMR	None
ExAC_EAS	The Exome Aggregation Consortium (ExAC) EAS 	None
ExAC_FIN	The Exome Aggregation Consortium (ExAC) FIN 	None
ExAC_NFE	The Exome Aggregation Consortium (ExAC) NFE 	None
ExAC_OTH	The Exome Aggregation Consortium (ExAC) OTH	None
ExAC_SAS	The Exome Aggregation Consortium (ExAC) SAS 	None
esp6500siv2_all	Esp6500 ALL	None
esp6500siv2_aa	Esp6500 African American	None
esp6500siv2_ea	Esp6500 European American	None
gwasCatalog	GWAS Catalog	None
clinvar_20150629_CLNDBN	Variant Disease Name	clinvar_20150629
clinvar_20150629_CLINSIG	Variant Clinical Significance	clinvar_20150629
sample_ID	Sample ID	sample
sample_GT	Genotype	sample
sample_DP	Read Depth	sample
