#es_name	display_name	path
Variant	Variant Name	None
Chr	Chromosome	None
Start	Start Position	None
Ref	Reference Allele	None
Alt	Alternate Allele	None
Type	Mutation Type	None
cytoBand	CytoBand	None
qs	GATK VQSR Score	gatkQS
AC_case	Allele Count Case	None
AN_case	Allele Number Case	None
AF_case	Allele Frequency  Case	None
AC_control	Allele Count Control	None
AN_control	Allele Number Control	None
AF_control	Allele Frequency Control	None
avsnp142	dbSNP142 ID	None
Func_refGene	RefSeq gene/transcript	None
Func_ensGene	Ensembl gene/transcript	None
ExonicFunc_refGene	Exonic RefSeq gene/transcript	None
ExonicFunc_ensGene	Exonic Ensembl gene/transcript	None
refGene_symbol	Symbol	refGene
refGene_refgene_id	RefGene ID 	refGene
refGene_cDNA_change	cDNA change	refGene
refGene_aa_change	Amino acid change 	refGene
ensGene_gene_id	Gene ID	ensGene
ensGene_transcript_id	Transcript ID	ensGene
ensGene_cDNA_change	cDNA change 	ensGene
ensGene_aa_change	Amino acid change 	ensGene
fathmm_MKL_coding_pred	FATHMM MKL Prediction	None
FATHMM_pred	FATHMM Prediction	None
LRT_pred	LRT Prediction	None
LR_pred	LR Prediction	None
MetaLR_pred	Metal LR Prediction	None
MetaSVM_pred	MetaSVM Prediction	None
MutationAssessor_pred	Mutation Assessor Prediction	None
MutationTaster_pred	Mutation Taster Prediction	None
PROVEAN_pred	PROVEAN Prediction	None
Polyphen2_HDIV_pred	Polyphen2 HDIV Prediction	None
Polyphen2_HVAR_pred	Polyphen2 HVAR Prediction	None
RadialSVM_pred	Radial SVM Prediction	None
SIFT_pred	SIFT Prediction	None
dbscSNV_ADA_SCORE	DbscSNV ADA SCORE	None
dbscSNV_RF_SCORE	DbscSNV RF SCORE 	None
gerp_plus_gt2	GERP++ score 	None
1000g2015aug_all	G1K All	None
1000g2015aug_afr	G1K African & African American	None
1000g2015aug_amr	G1K American	None
1000g2015aug_eur	G1K European	None
1000g2015aug_sas	G1K South Asian	None
ExAC_ALL	ExAC All	None
ExAC_AFR	ExAC African & African American	None
ExAC_AMR	ExAC American	None
ExAC_EAS	ExAC East Asian	None
ExAC_FIN	ExAC Finnish	None
ExAC_NFE	ExAC Non-Finnish European	None
ExAC_OTH	ExAC Other	None
ExAC_SAS	ExAC South Asian 	None
esp6500siv2_all	ESP6500 All	None
esp6500siv2_aa	ESP6500 African American	None
esp6500siv2_ea	ESP6500 European American	None
gwasCatalog	GWAS Catalog	None
clinvar_20150629_CLNDBN	Variant Disease Name	clinvar_20150629
clinvar_20150629_CLINSIG	Variant Clinical Significance	clinvar_20150629
sample_ID	Sample ID	sample
sample_GT	Genotype	sample
sample_DP	Read Depth	sample
sample_cohort	Cohort Label	sample
wgRna	microRNA/snoRNA Disrupted	None
snp138NonFlagged	dbSN138NonFlagged	None
cosmic70	Catalog Of Somatic Mutations In Cancer v70	None
genomicSuperDups	genomicSuperDups	None
phastConsElements100way	PhastConsElements100way	None
phastConsElements46way	PhastConsElements46way	None
targetScanS	Predicted microRNA Disrupted	None
tfbsConsSites	Transcription-Factor Binding Sites	None
